id_municipio,municipio_nome,id_gaema,id_redeprotetiva,num_gaema,gaema_nome,gaema_secretario,gaema_secretario_funcao,gaema_endereco,gaema_numero,gaema_complemento,gaema_bairro,gaema_cep,gaema_municipio,gaema_telefone,gaema_email,gaema_link,gaema_ato_criacao,gaema_ato_criacao_link,rp_num,rp_nome,rp_ugrhi
3501301,Álvares Machado,6.0,,VI,Núcleo Pontal do Paranapanema,Dr. Gabriel Lino de Paula Pires,11º PJ de Presidente Prudente,Avenida Brasil,494,,Centro,19010-031,Presidente Prudente,(18) 3345-2185 / 3345-2150,gaemaprudente@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/PontalParanapanema,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3501400,Álvaro de Carvalho,,11.0,,,,,,,,,,,,,,,,XI,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3501509,Alvinlândia,,11.0,,,,,,,,,,,,,,,,XI,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3501608,Americana,11.0,,XI,Núcleo PCJ-Piracicaba,Dra. Alexandra Facciolli Martins,1º PJ de Piracicaba,Rua Almirante Barroso,491,,São Judas,13416-398,Piracicaba,(19) 3433-6185 / 3434-7843,gaemapiracicaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/piracicaba,"Ato Normativo nº 716/11-PGJ, de 05/10/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/716.pdf,,,
3501707,Américo Brasiliense,,16.0,,,,,,,,,,,,,,,,XVI,Médio Mogi Inferior,UGRHI Mogi-Guaçu
3501806,Américo de Campos,,7.0,,,,,,,,,,,,,,,,VII,Turvo/Grande,UGRHI Turvo/Grande
3501905,Amparo,10.0,,X,Núcleo PCJ-Atibaia,,,,,,,,,,,,"Ato Normativo nº 716/11-PGJ, de 05/10/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/716.pdf,,,
3502002,Analândia,11.0,,XI,Núcleo PCJ-Piracicaba,Dra. Alexandra Facciolli Martins,1º PJ de Piracicaba,Rua Almirante Barroso,491,,São Judas,13416-398,Piracicaba,(19) 3433-6185 / 3434-7843,gaemapiracicaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/piracicaba,"Ato Normativo nº 716/11-PGJ, de 05/10/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/716.pdf,,,
3502101,Andradina,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3502200,Angatuba,,6.0,,,,,,,,,,,,,,,,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3502309,Anhembi,12.0,,XII,Núcleo Tietê/Sorocaba,Dr. Antonio Domingues Farto Neto,,Avenida Engenheiro Carlos Reinaldo Mendes,3200,Sala 609,Alto da Boa Vista,18013-280,Sorocaba,(15) 3228-6700,gaematietesorocaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/tiete_sorocaba,"Ato Normativo nº 848/14-PGJ, de 17/10/14",http://biblioteca.mpsp.mp.br/PHL_IMG/Atos/848.pdf,,,
3502408,Anhumas,6.0,,VI,Núcleo Pontal do Paranapanema,Dr. Gabriel Lino de Paula Pires,11º PJ de Presidente Prudente,Avenida Brasil,494,,Centro,19010-031,Presidente Prudente,(18) 3345-2185 / 3345-2150,gaemaprudente@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/PontalParanapanema,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3502507,Aparecida,1.0,,I,Núcleo Vale do Paraíba,Dr. Laerte Fernando Levai,4º PJ de São José dos Campos,Praça Melvin Jones,22,,Jardim São Dimas,12245-360,São José dos Campos,(12) 3941-3292,gaemaps@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Vale_do_paraiba,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3502606,Aparecida d'Oeste,,9.0,,,,,,,,,,,,,,,,IX,São José dos Dourados,UGRHI São José dos Dourados
3502705,Apiaí,2.0,,II,Núcleo Vale do Ribeira,Dr. Nilton de Oliveira Mello Neto,3º PJ de Registro,Avenida Clara Gianotti de Souza,102,Salas 106 e 108,Centro,11900-000,Registro,(13) 3821-2934 / 3821-4844,gaemavr@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Vale_do_Ribeira,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3502754,Araçariguama,12.0,,XII,Núcleo Tietê/Sorocaba,Dr. Antonio Domingues Farto Neto,,Avenida Engenheiro Carlos Reinaldo Mendes,3200,Sala 609,Alto da Boa Vista,18013-280,Sorocaba,(15) 3228-6700,gaematietesorocaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/tiete_sorocaba,"Ato Normativo nº 848/14-PGJ, de 17/10/14",http://biblioteca.mpsp.mp.br/PHL_IMG/Atos/848.pdf,,,
3502804,Araçatuba,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3502903,Araçoiaba da Serra,12.0,,XII,Núcleo Tietê/Sorocaba,Dr. Antonio Domingues Farto Neto,,Avenida Engenheiro Carlos Reinaldo Mendes,3200,Sala 609,Alto da Boa Vista,18013-280,Sorocaba,(15) 3228-6700,gaematietesorocaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/tiete_sorocaba,"Ato Normativo nº 848/14-PGJ, de 17/10/14",http://biblioteca.mpsp.mp.br/PHL_IMG/Atos/848.pdf,,,
3503000,Aramina,,2.0,,,,,,,,,,,,,,,,II,Sapucaí/Grande,UGRHI Sapucaí/Grande
3503109,Arandu,,6.0,,,,,,,,,,,,,,,,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3503158,Arapeí,1.0,,I,Núcleo Vale do Paraíba,Dr. Laerte Fernando Levai,4º PJ de São José dos Campos,Praça Melvin Jones,22,,Jardim São Dimas,12245-360,São José dos Campos,(12) 3941-3292,gaemaps@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Vale_do_paraiba,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3503208,Araraquara,,16.0,,,,,,,,,,,,,,,,XVI,Médio Mogi Inferior,UGRHI Mogi-Guaçu
3503307,Araras,,15.0,,,,,,,,,,,,,,,,XV,Médio Mogi Superior,UGRHI Mogi-Guaçu
3503356,Arco-Íris,,11.0,,,,,,,,,,,,,,,,XI,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3503406,Arealva,,8.0,,,,,,,,,,,,,,,,VIII,Tietê/Batalha,UGRHI Tietê/Batalha
3503505,Areias,1.0,,I,Núcleo Vale do Paraíba,Dr. Laerte Fernando Levai,4º PJ de São José dos Campos,Praça Melvin Jones,22,,Jardim São Dimas,12245-360,São José dos Campos,(12) 3941-3292,gaemaps@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Vale_do_paraiba,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3503604,Areiópolis,,5.0,,,,,,,,,,,,,,,,V,Tietê/Jacaré,UGHRI Tietê/Jacaré
3503703,Ariranha,,7.0,,,,,,,,,,,,,,,,VII,Turvo/Grande,UGRHI Turvo/Grande
3503802,Artur Nogueira,9.0,,IX,Núcleo PCJ-Campinas,Dr. Rodrigo Sanches Garcia,4º PJ de Valinhos,Avenida Francisco Xavier de Camargo,340,1º andar,Jardim Santana,13088-653,Campinas,(19) 3578-8334,gaemacampinas@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/campinas,"Ato Normativo nº 716/11-PGJ, de 05/10/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/716.pdf,,,
3503901,Arujá,8.0,,VIII,Núcleo Cabeceiras,,,Rua Riachuelo,115,Sala 309 / 3º andar,Centro,01007-904,São Paulo,(11) 3119-9370 / 3119-9366,gaema_cabeceiras@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Cabeceiras,"Ato Normativo nº 683/11-PGJ, de 15/02/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/683.pdf,,,
3503950,Aspásia,,9.0,,,,,,,,,,,,,,,,IX,São José dos Dourados,UGRHI São José dos Dourados
3504008,Assis,7.0,,VII,Núcleo Médio Paranapanema,Dr. Luis Fernando Rocha,3º PJ de Assis,Rua Vinte e Quatro de Maio,2,,Vila Clementina,19806-030,Assis,(18) 3322-2155 / 3324-2378,gaemaparanapanema@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Medio_Paranapanema,"Ato Normativo nº 649/10-PGJ, de 17/06/10",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/649.pdf,,,
3504107,Atibaia,10.0,,X,Núcleo PCJ-Atibaia,,,,,,,,,,,,"Ato Normativo nº 716/11-PGJ, de 05/10/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/716.pdf,,,
3504206,Auriflama,,9.0,,,,,,,,,,,,,,,,IX,São José dos Dourados,UGRHI São José dos Dourados
3504305,Avaí,,8.0,,,,,,,,,,,,,,,,VIII,Tietê/Batalha,UGRHI Tietê/Batalha
3504404,Avanhandava,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3504503,Avaré,,6.0,,,,,,,,,,,,,,,,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3504602,Bady Bassitt,,7.0,,,,,,,,,,,,,,,,VII,Turvo/Grande,UGRHI Turvo/Grande
3504701,Balbinos,,8.0,,,,,,,,,,,,,,,,VIII,Tietê/Batalha,UGRHI Tietê/Batalha
3504800,Bálsamo,,7.0,,,,,,,,,,,,,,,,VII,Turvo/Grande,UGRHI Turvo/Grande
3504909,Bananal,1.0,,I,Núcleo Vale do Paraíba,Dr. Laerte Fernando Levai,4º PJ de São José dos Campos,Praça Melvin Jones,22,,Jardim São Dimas,12245-360,São José dos Campos,(12) 3941-3292,gaemaps@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Vale_do_paraiba,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3505005,Barão de Antonina,,6.0,,,,,,,,,,,,,,,,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3505104,Barbosa,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3505203,Bariri,,5.0,,,,,,,,,,,,,,,,V,Tietê/Jacaré,UGHRI Tietê/Jacaré
3505302,Barra Bonita,,5.0,,,,,,,,,,,,,,,,V,Tietê/Jacaré,UGHRI Tietê/Jacaré
3505351,Barra do Chapéu,2.0,,II,Núcleo Vale do Ribeira,Dr. Nilton de Oliveira Mello Neto,3º PJ de Registro,Avenida Clara Gianotti de Souza,102,Salas 106 e 108,Centro,11900-000,Registro,(13) 3821-2934 / 3821-4844,gaemavr@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Vale_do_Ribeira,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3505401,Barra do Turvo,2.0,,II,Núcleo Vale do Ribeira,Dr. Nilton de Oliveira Mello Neto,3º PJ de Registro,Avenida Clara Gianotti de Souza,102,Salas 106 e 108,Centro,11900-000,Registro,(13) 3821-2934 / 3821-4844,gaemavr@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Vale_do_Ribeira,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3505500,Barretos,,4.0,,,,,,,,,,,,,,,,IV,Baixo Pardo/Grande,UGRHI Baixo Pardo/Grande
3505609,Barrinha,5.0,,V,Núcleo Pardo,Dr. Guilherme Chaves Nascimento,1º PJ de Cravinhos,Rua Alice Alem Saad,855,,Nova Ribeirânia,14096-570,Ribeirão Preto,(16) 3995-1453 / 3995-1451,gaemapardo@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Pardo,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3505708,Barueri,,13.0,,,,,,,,,,,,,,,,XIII,Cotia/Pirapora,UGRHI Alto Tietê
3505807,Bastos,,11.0,,,,,,,,,,,,,,,,XI,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3505906,Batatais,,2.0,,,,,,,,,,,,,,,,II,Sapucaí/Grande,UGRHI Sapucaí/Grande
3506003,Bauru,,8.0,,,,,,,,,,,,,,,,VIII,Tietê/Batalha,UGRHI Tietê/Batalha
3506102,Bebedouro,,4.0,,,,,,,,,,,,,,,,IV,Baixo Pardo/Grande,UGRHI Baixo Pardo/Grande
3506201,Bento de Abreu,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3506300,Bernardino de Campos,,6.0,,,,,,,,,,,,,,,,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3506359,Bertioga,3.0,,III,Núcleo Baixada Santista,Dra. Flávia Maria Gonçalves,10ª PJ de São Vicente,Avenida Conselheiro Nébias,756,5º andar / conj. 505,Boqueirão,11013-300,Santos,(13) 3221-6257,gaemabs@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Baixada_Santista,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3506409,Bilac,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3506508,Birigui,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3506607,Biritiba-Mirim,8.0,,VIII,Núcleo Cabeceiras,,,Rua Riachuelo,115,Sala 309 / 3º andar,Centro,01007-904,São Paulo,(11) 3119-9370 / 3119-9366,gaema_cabeceiras@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Cabeceiras,"Ato Normativo nº 683/11-PGJ, de 15/02/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/683.pdf,,,
3506706,Boa Esperança do Sul,,5.0,,,,,,,,,,,,,,,,V,Tietê/Jacaré,UGHRI Tietê/Jacaré
3506805,Bocaina,,5.0,,,,,,,,,,,,,,,,V,Tietê/Jacaré,UGHRI Tietê/Jacaré
3506904,Bofete,12.0,,XII,Núcleo Tietê/Sorocaba,Dr. Antonio Domingues Farto Neto,,Avenida Engenheiro Carlos Reinaldo Mendes,3200,Sala 609,Alto da Boa Vista,18013-280,Sorocaba,(15) 3228-6700,gaematietesorocaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/tiete_sorocaba,"Ato Normativo nº 848/14-PGJ, de 17/10/14",http://biblioteca.mpsp.mp.br/PHL_IMG/Atos/848.pdf,,,
3507001,Boituva,12.0,,XII,Núcleo Tietê/Sorocaba,Dr. Antonio Domingues Farto Neto,,Avenida Engenheiro Carlos Reinaldo Mendes,3200,Sala 609,Alto da Boa Vista,18013-280,Sorocaba,(15) 3228-6700,gaematietesorocaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/tiete_sorocaba,"Ato Normativo nº 848/14-PGJ, de 17/10/14",http://biblioteca.mpsp.mp.br/PHL_IMG/Atos/848.pdf,,,
3507100,Bom Jesus dos Perdões,10.0,,X,Núcleo PCJ-Atibaia,,,,,,,,,,,,"Ato Normativo nº 716/11-PGJ, de 05/10/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/716.pdf,,,
3507159,Bom Sucesso de Itararé,,6.0,,,,,,,,,,,,,,,,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3507209,Borá,7.0,,VII,Núcleo Médio Paranapanema,Dr. Luis Fernando Rocha,3º PJ de Assis,Rua Vinte e Quatro de Maio,2,,Vila Clementina,19806-030,Assis,(18) 3322-2155 / 3324-2378,gaemaparanapanema@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Medio_Paranapanema,"Ato Normativo nº 649/10-PGJ, de 17/06/10",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/649.pdf,,,
3507308,Boracéia,,5.0,,,,,,,,,,,,,,,,V,Tietê/Jacaré,UGHRI Tietê/Jacaré
3507407,Borborema,,8.0,,,,,,,,,,,,,,,,VIII,Tietê/Batalha,UGRHI Tietê/Batalha
3507456,Borebi,,5.0,,,,,,,,,,,,,,,,V,Tietê/Jacaré,UGHRI Tietê/Jacaré
3507506,Botucatu,12.0,,XII,Núcleo Tietê/Sorocaba,Dr. Antonio Domingues Farto Neto,,Avenida Engenheiro Carlos Reinaldo Mendes,3200,Sala 609,Alto da Boa Vista,18013-280,Sorocaba,(15) 3228-6700,gaematietesorocaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/tiete_sorocaba,"Ato Normativo nº 848/14-PGJ, de 17/10/14",http://biblioteca.mpsp.mp.br/PHL_IMG/Atos/848.pdf,,,
3507605,Bragança Paulista,10.0,,X,Núcleo PCJ-Atibaia,,,,,,,,,,,,"Ato Normativo nº 716/11-PGJ, de 05/10/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/716.pdf,,,
3507704,Braúna,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3507753,Brejo Alegre,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3507803,Brodowski,5.0,,V,Núcleo Pardo,Dr. Guilherme Chaves Nascimento,1º PJ de Cravinhos,Rua Alice Alem Saad,855,,Nova Ribeirânia,14096-570,Ribeirão Preto,(16) 3995-1453 / 3995-1451,gaemapardo@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Pardo,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3507902,Brotas,,5.0,,,,,,,,,,,,,,,,V,Tietê/Jacaré,UGHRI Tietê/Jacaré
3508009,Buri,,6.0,,,,,,,,,,,,,,,,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3508108,Buritama,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3508207,Buritizal,,2.0,,,,,,,,,,,,,,,,II,Sapucaí/Grande,UGRHI Sapucaí/Grande
3508306,Cabrália Paulista,7.0,,VII,Núcleo Médio Paranapanema,Dr. Luis Fernando Rocha,3º PJ de Assis,Rua Vinte e Quatro de Maio,2,,Vila Clementina,19806-030,Assis,(18) 3322-2155 / 3324-2378,gaemaparanapanema@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Medio_Paranapanema,"Ato Normativo nº 649/10-PGJ, de 17/06/10",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/649.pdf,,,
3508405,Cabreúva,12.0,,XII,Núcleo Tietê/Sorocaba,Dr. Antonio Domingues Farto Neto,,Avenida Engenheiro Carlos Reinaldo Mendes,3200,Sala 609,Alto da Boa Vista,18013-280,Sorocaba,(15) 3228-6700,gaematietesorocaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/tiete_sorocaba,"Ato Normativo nº 848/14-PGJ, de 17/10/14",http://biblioteca.mpsp.mp.br/PHL_IMG/Atos/848.pdf,,,
3508504,Caçapava,1.0,,I,Núcleo Vale do Paraíba,Dr. Laerte Fernando Levai,4º PJ de São José dos Campos,Praça Melvin Jones,22,,Jardim São Dimas,12245-360,São José dos Campos,(12) 3941-3292,gaemaps@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Vale_do_paraiba,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3508603,Cachoeira Paulista,1.0,,I,Núcleo Vale do Paraíba,Dr. Laerte Fernando Levai,4º PJ de São José dos Campos,Praça Melvin Jones,22,,Jardim São Dimas,12245-360,São José dos Campos,(12) 3941-3292,gaemaps@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Vale_do_paraiba,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3508702,Caconde,5.0,,V,Núcleo Pardo,Dr. Guilherme Chaves Nascimento,1º PJ de Cravinhos,Rua Alice Alem Saad,855,,Nova Ribeirânia,14096-570,Ribeirão Preto,(16) 3995-1453 / 3995-1451,gaemapardo@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Pardo,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3508801,Cafelândia,,8.0,,,,,,,,,,,,,,,,VIII,Tietê/Batalha,UGRHI Tietê/Batalha
3508900,Caiabu,6.0,,VI,Núcleo Pontal do Paranapanema,Dr. Gabriel Lino de Paula Pires,11º PJ de Presidente Prudente,Avenida Brasil,494,,Centro,19010-031,Presidente Prudente,(18) 3345-2185 / 3345-2150,gaemaprudente@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/PontalParanapanema,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3509007,Caieiras,8.0,,VIII,Núcleo Cabeceiras,,,Rua Riachuelo,115,Sala 309 / 3º andar,Centro,01007-904,São Paulo,(11) 3119-9370 / 3119-9366,gaema_cabeceiras@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Cabeceiras,"Ato Normativo nº 683/11-PGJ, de 15/02/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/683.pdf,,,
